user,service
어떤 메뉴가 제일 잘나가요,라이트한 맛의 아이스 아메리카노가 잘나가요
레몬에이드 하나요,테이크아웃하실 건가요 
초코라떼 하나요,따뜻하게 해드릴까요 시원하게 해드릴까요
인성에 문제있서,컴퓨터라 인성이 없어요 그런 손님 인성에 문제 있서
따뜻한 자몽티 하나요,죄송합니다 자몽티는 없습니다
아이스카페라떼 하나요,테이크아웃하실 건가요 
아이스아메리카노 하나요,테이크아웃하실 건가요 
매장 주소가 어떻게 되나요,광주 북구 첨단과기로 339 입니다
네 텀블러에 넣어주세요,텀블러 할인 300원 해드릴게요
그란데 사이즈로 주세요,적립카드 있으세요 
네 보고쿠폰으로 결제할게요,현금영수증 해드릴까요 
괜찮습니다,저쪽에서 잠시만 대기해주세요
저 카푸치노로 주문할게요,시럽은 얼마나 뿌려드릴까요 
3번 뿌려주세요,위에 크림 올려드릴까요 
네 많이 올려주세요,오늘 이벤트 해서 커피를 주문하시면 2000원 추가하시면 브레드를 드립니다
그럼 2000원 추가해서 베이글도 같이 시킬게요,그럼 카푸치노와 베이글 결제 도와드리겠습니다
저 도장 다 모았는데 나중에 써도 되나요 ,네 다음에 써도 됩니다
이 기프티콘 여기서 사용할 수 있나요 ,사용 가능하십니다
그럼 이 기프티콘 쓰고 다른걸로 주문할게요,어떤 걸로 하시겠어요 
자바칩 프라푸치노에 휘핑 빼고요,5500원입니다
여기 기프티콘 대면 되죠 ,네 현금영수증 해드릴까요 
네 번호 입력할게요,다 되셨습니다
따뜻한 카페라떼 한 잔  아이스아메리카노 한 잔이요 ,드시고 가시나요 
레몬에이드 두 잔  아이스라떼 한 잔이요 ,결제도와 드리겠습니다
따뜻한 아메리카노 한 잔  아이스아메리카노 세 잔이요 ,포장해 드릴까요
따뜻한 아메리카노 한 잔  아이스라떼 한 잔이요 ,결제도와 드리겠습니다
네  그런데 중간에 테이크 아웃도 가능한가요 ,네  카운터로 오시면 테이크 아웃 잔에 담아드려요 
네  베이글도 3개 같이 주세요 ,베이글도 드시고 가시나요 
네 ,데워드릴까요 
네  데워주세요 ,네  잠시만 기다려주세요 
레몬에이드 따뜻하게 되나요 ,아니요 불가능 합니다
바닐라라떼 얼마에요,5000원 입니다
바닐리라떼 주세요,네 5000원 입니다 사이즈는 어떻게 해드릴까요
톨 사이즈,바닐라 라떼 드시고 가시나요
네 머그잔에 담아 주세요,네 알겠습니다 핸드폰 알림으로 알려 드릴께요
바닐라라떼 차갑게 되나요 ,가능합니다 
바닐라라떼 테이크 아웃이요,5000원 결제 도와드리겠습니다 핸드폰 알림으로 알려드릴께요
아이스 초코라떼 개인컵에 주실 수 있나요 ,개인컵 사이즈가 작아서 음료가 다 안 들어가요
음료와 같이 먹을 빵 추천해주세요,베이글이 잘 어울려요
모바일 쿠폰으로 결제할 수 있어요 ,네 가능해요
화장실은 어디에 있나요 ,카운터 오른쪽에 있어요
여기에서 제일 잘나가는 커피가 뭐에요 ,요새는 이 라이트한 맛의 아이스아메리카노가 제일 잘나가요 
라이트한 맛의 아이스아메리카노요 ,네  저희 가게 마스코트 메뉴에요 
그럼 그거 한잔하고  카페라떼 주세요 ,처음오시는거면  쿠폰 찍어 드릴까요 
쿠폰 찍어주세요 ,10개 다모아오시면 커피한잔 드려요 
오  감사합니다 ,편하신 자리 앉아계시면 가져다 드릴게요 
아메리카노 톨 사이즈로 주세요,따뜻한 거로 드릴까요 
네 그리고 이 맴버쉽 할인 사용할게요,네 드시고 가시나요 
네 먹고갈게요,4000원 결제 도와드리겠습니다
진동밸을 따로 주시나요 ,그럼요 여기 있습니다
와이파이 비밀번호는 뭐에요 ,와이파이 암호는 OZZ5842 입니다
계절메뉴 주문가능한가요 ,네  가능합니다 
배달 하시나요 ,네  배달비 3000원입니다 
콘센트 자리 있나요 ,네  있습니다 
커피에 샷 추가 가능한가요 ,네  가능합니다  
남은 음료 담아 주시나요 ,네  담아드립니다 잠시만 기달려 주세요
밀크티 있나요 ,네 있습니다
밀크티에 혹시 우유가 들어가나요 아니면 우유 분말이 들어가나요 ,저희는 우유 분말을 사용하고 있어요
밀크티 홍차 종류는 뭐가 있어요 ,루이보스  아쌈 이렇게 두개있습니다 
그럼 루이보스 밀크티 하나 주시겠어요 ,네 알겠습니다 
변기가 막혔서요,담당직원에게 전달할께요
쿠폰 주시나요 ,네 드릴게요 잠시만요
아이스 아메리카노 한잔이요,드시고 가시는거세요 
아니요,테이크 아웃잔에 도와드리겠습니다
텀블러 가져왔는데 여기에 담아주세요,알겠습니다
쿠폰 있는데 도장도 찍어주세요,도장 이미 다 채우셔서 이번 음료 무료로 가능하신데 결제 취소하고 무료로 드릴까요 
다음번에 무료로 하고 이번엔 새로 도장 찍어주세요,네
2명 창가자리에 앉을 수 있을까요 ,네 기다리시면 안내해드릴게요
네 부탁드립니다,주문은 어떤걸로 하시겠어요 
저는 우선 따뜻한 물이랑 커피주세요,커피는 따뜻하게 드릴까요 시원하게 드릴까요
따뜻하게 주세요,네 더 필요한건 없으세요 
혹시 빵 종류도 있나요 ,네 베이글과 센드위치 있습니다
아메리카노 한 잔에 얼마죠 ,4000원입니다 
사이즈업 되나요 ,네 가능합니다 
두 잔 테이크아웃 할게요 ,네 가격은 8000원입니다
이 쿠폰 쓸 수 있죠 ,네 
시그니처 메뉴로,라이트한 맛의 아이스 아메리카노가 잘나가요
시그니처 메뉴가 있나요,라이트한 맛의 아이스 아메리카노가 잘나가요
얼마나 걸리나요 ,바로 만들어드릴게요 
카푸치노 한잔이랑 아메리카노 두잔 주세요 ,네  뜨거운 음료로 드릴까요 
카푸치노는 빅사이즈로 주시고 아메리카노는 스몰로 주시겠어요 ,네  다른거 더 필요한거 없으세요 
얼마나 걸릴까요 ,대략 5분정도 걸립니다 
음료랑 다 해서 얼마에요 ,14500원입니다 
죄송한데 조각 베이글도 추가해주시겠어요 ,네  어떤 거로 드릴까요 
아메리카노 한잔 주세요 ,드시고 가시나요 
네  텀블러에 담아주실 수 있나요  ,네 그럼요 
텀블러 할인 있나요 ,네 500원 할인되세요 
센드위치도 하나 주세요 ,네 결제 도와드릴게요 
삼성페이 되나요 ,네 가능하세요 
아메리카노 한잔 주문 할 수 있을까요 ,네  주문 가능합니다 
아메리카노는 어떤 종류가 있나요 ,디카페인과 기본 아메리카노 2종류 있습니다 
디카페인으로 한잔 주문할게요 ,결제는 어떻게 도와드릴까요 
카카오 페이로 결제 가능한가요 ,네  가능합니다 
포인트 적립 같이 할 수 있나요 ,네  같이 적립해 드리겠습니다 
커피 주문할게요,네 어떤걸로 하시겠습니까
네 오늘의 커피로 주세요,네 사이즈는 어떤걸로 주문넣어 드릴까요
아 네 제일 양이 적은 숏으로 할게요,아 네 알겠습니다  
근데 오늘의 커피는 무슨커피로 하나요 매번 맛이 다르던데,아 네 오늘은 과테말라 커피입니다
아네 제가 젤 좋아하는 커피인데요,오늘 딱 맞게 오셨네요
자몽 티 하나주세요 ,따뜻한 것으로 드릴가요 
사이즈업 되나요 ,아니요  한 사이즈로만 판매하고 있습니다 
주소 좀 알려주세요,광주 북구 첨단과기로 339 입니다
베이글은 뭐가 제일 맛있나요 ,블루베리 베이글이 잘 나갑니다 
그럼 블루베리 베이글도 같이 주세요 ,네  더 필요한 거 없으신가요 
현금 영수증 해주세요 ,네  번호 찍어주세요 
주문하려고 해요 ,네 손님  메뉴는 어떻게 드릴까요 
아이스 아메리카노랑 따뜻한 라떼로 주세요 ,사이즈는 어떻게 드릴까요 
둘 다 톨 사이즈로 주세요 ,여기서 드시고 가나요  가져가시나요 
여기서 먹고 가겠습니다 ,요즘 환경정책때문에 머그잔으로 드리도록 하겠습니다 
샌드위치 있나요,네 샌드위치는 참치 인기가요 고구마무스 있습니다
어떤 샌드위치가 잘나가요,인기가요가 잘나요
인기가요는 얼마에요,3500원 입니다
포장 되나요,네 포장 가능 합니다 핸드폰 알림으로 알려드릴께요
그럼 아메리카노 한잔 인기가요 샌드위치 하나 주세요,네 아메리카노 4000원 인기가요 샌드위치 3500원 총 7500원 결제 할께요
아 그리고 라떼는 우유 좀 적게 주세요 ,네  모두 다 해서 8000원 나왔습니다 
아아 주문 가능한가요 ,네 당연히 가능합니다  
언제 음료가 나오나요 ,10분 내로 나갑니다  
혹시 아이리쉬 커피도 판매하나요 ,아니요 아이리쉬 커피는 판매하지 않습니다  
캐리어에 넣어 주실 수 있나요 ,아뇨 캐리어는 2개 이상부터 가능해요 
실내에서 일회용 사용 가능한가요 ,아뇨 현재 법적으로 금지하고 있어요 
한사람당 한잔씩 시켜야 하나요 ,저희 매장은 1인 1잔이 기본입니다 
자파칩 프라프치노에 휘핑 들어가있나요 ,들어가있습니다 
휘핑 빼주실 수 있나요 ,당연하죠 
그러면 아메리카노 하나랑 자파칩 프라프치노 휘핑빼고 하나주세요,아메리카노 뜨거운건가요 
아이스로 주세요,지금은 아이스가 안됩니다 
아메리카노 주세요,따듯하게 드릴까요 
차갑게 주세요,4000입니다
샌드위치는 얼마에요 ,3500입니다
얼마나 걸려요 ,10분 정도 걸려요
포장도 되나요 ,네
아이스 아메리카노 한 잔 가능한가요 ,네  가능합니다 
헤이즐넛 시럽도 조금넣어 주실 수 있나요 ,헤이즐넛 시럽은 500원 추가됩니다 
그럼 사이즈업은 얼마 추가인가요 ,500원 추가하면 가능합니다 
이름이 뭐라고,콩휴입니다 공유 아니고 콩 휴 요
포인트 적립해 주세요 ,쿠폰 주시면 도와드리겠습니다 
매장에서 테이크아웃잔 사용 가능한가요 ,아뇨  매장에서는 머그컵만 사용 가능합니다 
카페라떼 한 잔 주세요,네 카페라떼 컵 사이즈는 뭘로 드릴까요 
카페라떼 제일 큰 사이즈로 주세요,네 그럼 카페라떼 톨 사이즈로 드리겠습니다
베이글도 하나 부탁드려요,베이글 크림은 어떤 걸로 드릴까요 
시그니처 줘,라이트한 맛의 아이스 아메리카노가 잘나가요
베이글 크림은 어떤 게 있나요 ,어니언 크림이랑 플레인 크림 있습니다
추운 날씨에 어울리는 음료 있나요,따듯한 라떼 자몽차 추천해드려요
어니언 크림으로 부탁드릴게요,네 준비해드리겠습니다
매장 주소가 뭐에요,광주 북구 첨단과기로 339 입니다
아이스 아메리카노 한 잔 주세요,아이스 아메리카노 포장이신가요 
아니요 매장에서 먹을게요,머그잔으로 제공해드려도 괜찮을까요 
시그니처 메뉴는 어떤 거에요,라이트한 맛의 아이스 아메리카노가 잘나가요
